Rozmiar tablicy	Dlugosc ciagu	Operacje
250	82200	389.730000
250	82300	390.540000
250	82400	392.160000
250	82500	390.950000
250	82600	391.590000
250	82700	394.500000
250	82800	393.010000
250	82900	391.310000
250	83000	396.010000
250	83100	393.380000
250	83200	394.990000
250	83300	395.580000
250	83400	395.930000
250	83500	397.880000
250	83600	396.960000
250	83700	397.960000
250	83800	396.510000
250	83900	399.960000
250	84000	400.120000
250	84100	401.880000
250	84200	398.640000
250	84300	399.430000
250	84400	403.670000
250	84500	400.830000
250	84600	407.540000
250	84700	403.780000
250	84800	402.870000
250	84900	403.460000
250	85000	403.070000
250	85100	404.600000
250	85200	407.710000
250	85300	406.790000
250	85400	405.480000
250	85500	405.210000
250	85600	404.170000
250	85700	406.160000
250	85800	405.810000
250	85900	406.530000
250	86000	408.150000
250	86100	407.170000
250	86200	409.750000
250	86300	407.990000
250	86400	411.370000
250	86500	409.390000
250	86600	412.250000
250	86700	411.720000
250	86800	411.790000
250	86900	410.430000
250	87000	414.800000
250	87100	414.750000
250	87200	412.770000
250	87300	415.460000
250	87400	420.280000
250	87500	413.900000
250	87600	415.090000
250	87700	416.330000
250	87800	418.760000
250	87900	417.780000
250	88000	418.790000
250	88100	415.710000
250	88200	418.190000
250	88300	422.010000
250	88400	415.580000
250	88500	418.600000
250	88600	419.920000
250	88700	419.760000
250	88800	419.910000
250	88900	426.400000
250	89000	424.450000
250	89100	422.760000
250	89200	423.590000
250	89300	423.270000
250	89400	423.820000
250	89500	428.770000
250	89600	424.600000
250	89700	424.030000
250	89800	427.290000
250	89900	425.200000
250	90000	425.270000
250	90100	432.800000
250	90200	426.900000
250	90300	431.450000
250	90400	432.550000
250	90500	431.070000
250	90600	433.870000
250	90700	431.060000
250	90800	433.890000
250	90900	433.070000
250	91000	431.840000
250	91100	438.160000
250	91200	433.170000
250	91300	434.520000
250	91400	434.420000
250	91500	433.820000
250	91600	433.250000
250	91700	434.250000
250	91800	435.940000
250	91900	435.850000
250	92000	438.180000
250	92100	439.170000
250	92200	437.260000
250	92300	443.050000
250	92400	439.060000
250	92500	435.350000
250	92600	437.510000
250	92700	439.740000
250	92800	441.840000
250	92900	440.780000
250	93000	444.060000
250	93100	442.500000
250	93200	442.760000
250	93300	443.990000
250	93400	443.590000
250	93500	444.610000
250	93600	442.110000
250	93700	441.970000
250	93800	445.010000
250	93900	444.060000
250	94000	448.110000
250	94100	444.100000
250	94200	446.410000
250	94300	449.860000
250	94400	447.290000
250	94500	452.350000
250	94600	446.720000
250	94700	450.460000
250	94800	448.870000
250	94900	452.360000
250	95000	451.790000
250	95100	456.400000
250	95200	453.040000
250	95300	451.830000
250	95400	453.520000
250	95500	453.150000
250	95600	452.310000
250	95700	453.640000
250	95800	456.580000
250	95900	455.460000
250	96000	457.350000
250	96100	456.850000
250	96200	458.200000
250	96300	455.170000
250	96400	462.140000
250	96500	455.780000
250	96600	460.760000
250	96700	458.580000
250	96800	453.100000
250	96900	461.770000
250	97000	458.960000
250	97100	457.610000
250	97200	460.560000
250	97300	462.450000
250	97400	457.490000
250	97500	462.130000
250	97600	463.340000
250	97700	465.110000
250	97800	464.760000
250	97900	466.160000
250	98000	466.530000
250	98100	464.400000
250	98200	466.070000
250	98300	468.650000
250	98400	468.820000
250	98500	467.290000
250	98600	469.720000
250	98700	470.560000
250	98800	467.130000
250	98900	465.930000
250	99000	473.560000
250	99100	473.160000
250	99200	472.110000
250	99300	474.020000
250	99400	468.780000
250	99500	473.150000
250	99600	472.920000
250	99700	470.610000
250	99800	471.440000
250	99900	475.010000
250	100000	474.140000
